

Database of gamma-ray burst bulk properties extracted from the on-line
3B catalog in May 1996, with cluster assignments from average-linkage
hierarachical clustering, created by S. Mukherjee.  logP256 was not used 
in clustering, but was added to the database by E. Feigelson in October 1997.


SAS #   Clus #  3B cat#   log t50    log t90   logFtot    log H321  log H32  log P256
150       1       2505.    1.2767    1.8133    -5.6434     0.2295    0.4590   -0.1637
151       1       3143.    0.2092    0.6177    -5.2057     0.2387    0.5007    0.4131
152       1       3155.    0.1072    0.6927    -5.2521     0.2683    0.5532    0.2662
153       1       1122.    0.7839    1.2730    -4.6008     0.2564    0.5047    1.0645
154       1       2371.    0.8105    1.2580    -4.7335     0.2643    0.4468    0.6712
155       1       109.     1.6731    1.9551    -4.2296     0.1783    0.3841    0.5587
156       1       1606.    1.7273    1.9473    -4.2076     0.2786    0.4761    0.8933
157       1       841.     0.7604    1.2407    -5.2253     0.0019    0.2324    0.7838
158       1       2898.    0.8274    1.1754    -5.2221    -0.0860    0.3084   -0.1057
159       1       2709.    0.9523    1.2671    -5.1259     0.3936    0.5705    0.2984
160       1       332.     1.1386    1.7044    -5.3959     0.1352    0.3326    0.0748
161       1       927.     0.9615    1.4467    -6.2002    -0.4414   -0.1889   -0.2277
162       1       2671.    0.9705    1.4977    -6.0788    -0.3759   -0.1514   -0.4214
163       1       2775.    1.1222    1.5003    -5.3893    -0.0715    0.1924   -0.3468
164       1       820.     1.2144    1.5008    -5.3272     0.6722    0.9138   -0.2557
165       1       1551.    1.0849    1.4689    -5.2886     0.7370    0.8969   -0.2351
166       1       1235.    2.1442    2.2786    -4.9917     0.1304    0.3996    0.4038
167       1       2435.    2.0018    2.2937    -5.0135     0.1241    0.3467    0.1418
168       1       2608.    1.1918    1.4694    -6.0685    -0.1710    0.1233   -0.0448
169       1       2252.    1.1028    1.5481    -5.6330     0.2499    0.4974   -0.1931
170       1       2191.    0.8669    1.4028    -5.3375     0.3036    0.5724   -0.0804
171       1       2864.    0.9764    1.4906    -5.3293     0.3427    0.5185   -0.1643
172       1       1574.    1.7652    2.0330    -5.0698     0.0632    0.3277   -0.1720
173       1       2948.    1.6881    2.0052    -4.9867    -0.0346    0.2921   -0.1549
174       1       824.     1.1864    1.6034    -5.5887    -0.2224    0.0274   -0.1612
175       1       1432.    1.2311    1.5879    -5.5709    -0.1926    0.1724   -0.2984
176       1       1956.    0.6124    1.1466    -5.2619     0.1417    0.3897    0.4106
177       1       549.     0.9909    1.1584    -5.8692     0.0883    0.3010   -0.4763
178       1       630.     0.9031    1.2595    -5.9241     0.0504    0.2540   -0.2211
179       1       829.     0.7793    1.2391    -4.9990     0.0203    0.1571    0.8122
180       1       1406.    0.8925    1.3003    -4.9910    -0.0394    0.2255    0.2940
181       1       2853.    0.7038    1.1456    -5.4920     0.3523    0.4439   -0.0675
182       1       2019.    1.0803    1.3364    -5.1114     0.2093    0.4253    0.1617
183       1       1472.    0.7885    1.1971    -5.2942     0.1717    0.3755    0.1647
184       1       3032.    0.9066    1.1179    -5.3272     0.2306    0.3490    0.3653
185       1       658.     0.7793    1.3154    -5.5222     0.0131    0.2355    0.1075
186       1       764.     0.8925    1.3181    -5.6319     0.0395    0.2357   -0.0132
187       1       761.     1.6034    1.9110    -4.4747     0.2675    0.4533    0.5062
188       1       1126.    0.9823    1.3072    -5.6533     0.3708    0.5934   -0.0964
189       1       2753.    0.9365    1.3377    -5.5203     0.3113    0.5558   -0.0004
190       1       1447.    1.0467    1.3564    -5.0632     0.3619    0.5297    0.2413
191       1       1815.    1.0341    1.2961    -4.9527     0.2808    0.4723    0.6066
192       1       543.     0.3377    0.6870    -5.1125     0.1838    0.3433    1.0235
193       1       2736.    0.2000    0.7046    -5.1422     0.1387    0.4069    0.6869
194       1       938.     0.9615    1.4910    -5.6801    -0.0612    0.1831    0.0220
195       1       2947.    0.9735    1.3408    -5.7387    -0.0462    0.1701   -0.2716
196       1       869.     1.2862    2.0432    -4.7268     0.3257    0.4740    0.5462
197       1       2429.    1.3140    1.9357    -4.7615     0.2330    0.4063    0.1427
198       1       1580.    1.1809    1.5894    -5.3226     0.3551    0.5323    0.0824
199       1       2931.    1.1426    1.6674    -5.4279     0.2762    0.4893   -0.1096
200       1       2119.    0.7407    1.1846    -5.8114     0.2583    0.4261   -0.0250
